datetime,temp_air,temp_soil,conc,PAR,turfID,type,start,end,fluxID,n_conc,ratio,flag,time,cut,std.error,p.value,r.squared,adj.r.squared,intercept,slope,fit
2022-07-28T23:44:33Z,NA,NA,483.82,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,58,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,483.6192626352614
2022-07-28T23:44:34Z,NA,NA,483.86,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,59,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,483.73202606041195
2022-07-28T23:44:35Z,NA,NA,484.08,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,60,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,483.8447894855625
2022-07-28T23:44:36Z,7.25,10.85,484.76,2.14,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,61,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,483.95755291071305
2022-07-28T23:44:37Z,NA,NA,485.46,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,62,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,484.0703163358636
2022-07-28T23:44:38Z,NA,NA,485.94,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,63,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,484.18307976101414
2022-07-28T23:44:39Z,NA,NA,486.8,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,64,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,484.2958431861647
2022-07-28T23:44:40Z,NA,NA,487.12,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,65,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,484.4086066113153
2022-07-28T23:44:41Z,NA,NA,487.98,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,66,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,484.52137003646584
2022-07-28T23:44:42Z,NA,NA,488.61,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,67,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,484.6341334616164
2022-07-28T23:44:43Z,NA,NA,489.54,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,68,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,484.74689688676693
2022-07-28T23:44:44Z,NA,NA,489.38,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,69,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,484.8596603119175
2022-07-28T23:44:45Z,NA,NA,490.24,NA,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,70,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,484.972423737068
2022-07-28T23:44:46Z,7.27,10.85,489.92,1.53,156 AN2C 156,ER,2022-07-28T23:43:35Z,2022-07-28T23:47:05Z,1,210,1,NA,71,keep,0.03622088457526482,0.0021110053200401532,0.04452210821852609,0.03992846450803822,477.0789839765293,0.11276342515055358,485.0851871622186
